X,Y,OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,ADDR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,X,Y,ADDRID,ZIP_CODE,LONGITUDE,LATITUDE
-76.999884831417219,38.959979609350107,12,LaSalle-Backus Education Campus,501 RIGGS ROAD NE,Elementary School,ES,Active,202-671-6340,0,290, ,dcps_264,http://dcps.dc.gov/DCPS/lasalle-backus,294489,264,264,N,406,1957,63000,425,272,400010.18,143562.69,294489,20011,-76.99988254,38.95997214
-77.019580544516998,38.967292015584079,13,Coolidge High School,6315 5TH STREET NW,High School,HS,Active,202-671-6080,,547, ,dcps_455,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294615,455,455,N,1240,1940,271300,1100,710,398303.3,144374.62,294615,20012,-77.01957835,38.96728457
-77.028432325197457,38.90350379119716,14,Thomson Elementary School,1200 L STREET NW,Elementary School,ES,Active,202-898-4660,,327, ,dcps_326,http://thomsonelementary.org/,240922,326,326,N,,,,,,397533.99,137293.77,240922,20005,-77.02843003,38.90349634
-76.988659780385362,38.892192646721128,15,Maury Elementary School,1250 CONSTITUTION AVENUE NE,Elementary School,ES,Active,202-698-3838,,292, ,dcps_274,http://www.mauryelementary.com,294511,274,274,N,276,1886,46800,325,225,400984,136037.82,294511,20002,-76.9886575,38.89218519
-77.02847308800547,38.922179990026187,16,Cardozo Education Campus,1200 CLIFTON STREET NW,High School,HS,Active,202-673-7385,,477, ,dcps_454,http://www.cardozoshs.com,294513,454,454,N,1565,1926,355400,1100,1267,397531.11,139367.02,294513,20009,-77.02847069,38.92217286
-77.030691143018444,38.960543191189331,17,Brightwood Education Campus,1300 NICHOLSON STREET NW,Elementary School,ES,Active,202-722-5670,,549, ,dcps_213,http://www.brightwooddc.org,294515,213,213,Y,,,,,,397340.19,143625.7,294515,20011,-77.03068885,38.96053573
-76.988588119087183,38.912147050914335,18,Youth Services Center,1000 MOUNT OLIVET ROAD NE,Youth Engagement,YE,Active,202-576-8388,67,67, ,dcps_948,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,290013,0, ,N,90,2004,,,,400989.94,138252.92,290013,20002,-76.98858584,38.91213959
-77.07195752763505,38.9407301065553,19,Hearst Elementary School,3950 37TH STREET NW,Elementary School,ES,Active,202-282-0106,,257, ,dcps_258,http://www.hearstdc.org/,294586,258,258,N,181,1932,17400,325,161,393761.89,141428.28,294586,20008,-77.07195522,38.94072265
-76.9991871249605,38.828993353467752,20,Hendley Elementary School,425 CHESAPEAKE STREET SE,Elementary School,ES,Active,202-645-3450,,341, ,dcps_249,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,24445,249,249,N,559,1959,73200,325,207,400070.78,129022.18,24445,20032,-76.99918485,38.82898591
-76.96435855383109,38.870099185756025,21,Randle Highlands Elementary School,1650 30TH STREET SE,Elementary School,ES,Active,202-729-3250,,384, ,dcps_316,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,156337,316,316,N,520,2003,,,,403093.17,133585.82,156337,20020,-76.96435628,38.87009174
-77.026597762477735,38.922833433494098,22,Duke Ellington School of the Arts,2501 11TH STREET NW,High School/Specialized,HS,Active,202-282-0123,1,517, ,dcps_471,http://www.ellingtonschool.org,242979,471,471,N,500,1898,167500,700,463,397694,139439.5,242979,20007,-77.026593,38.922826
-76.952113179785854,38.901286426907788,23,Thomas Elementary School,650 ANACOSTIA AVENUE NE,Elementary School,ES,Active,202-724-4593,,235, ,dcps_325,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294493,325,325,N,636,1946,87600,325,287,404154.01,137048.33,294493,20019,-76.95211091,38.90127897
-76.930798766459873,38.885961872248842,24,Nalle Elementary School,219 50TH STREET SE,Elementary School,ES,Active,202-671-6280,,327, ,dcps_288,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294474,288,288,N,460,1950,83900,400,383,406004.16,135348.37,294474,20019,-76.93079651,38.88595442
-77.040817544047897,38.91911447057857,25,Marie Reed Elementary School,2201 18TH STREET NW,Elementary School,ES,Active,202-673-7308,0,357, ,dcps_284,http://www.dcps.dc.gov/DCPS/mariereed,235577,284,284,N,,,,,,396459.87,139027.66,310614,20009,-77.040822,38.919112
-76.974486291198389,38.871804606512093,26,Orr Elementary School,2200 MINNESOTA AVENUE SE,Elementary School,ES,Active,202-671-6240,,308, ,dcps_291,http://orrelementary.com/,294539,291,291,N,,,,,,402214.23,133774.84,294539,20020,-76.97448402,38.87179716
-77.038812881249783,38.923950543074227,27,H.D. Cooke Elementary School,2525 17TH STREET NW,Elementary School,ES,Active,202-939-5390,,396, ,dcps_227,http://www.dcps.dc.gov/DCPS/hdcooke,235863,227,227,N,,,,,,396634.55,139563.86,235863,20009,-77.03881058,38.92394309
-76.955607017560084,38.864357287429293,28,Beers Elementary School,3600 ALABAMA AVENUE SE,Elementary School,ES,Active,202-939-4800,,386, ,dcps_206,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,278406,206,206,N,448,1942,77500,400,330,403852.94,132948.76,278406,20020,-76.95560475,38.86434984
-76.953161113172527,38.883901862321139,29,Sousa Middle School,3650 ELY PLACE SE,Middle School,MS,Active,202-729-3260,,348, ,dcps_427,http://www.sousamiddleschool.org/,294584,427,427,N,,,,,,404064.1,135118.46,294584,20019,-76.95315884,38.88389441
-77.075201378054615,38.952904202814935,30,Deal Middle School,3815 FORT DRIVE NW,Middle School,MS,Active,202-939-2010,,1014, ,dcps_405,http://www.dealpta.org,277548,405,405,N,900,1931,180000,850,,393481.78,142779.94,277548,20016,-77.07519907,38.95289674
-76.933703178825397,38.897009267546522,31,Aiton Elementary School,533 48TH PLACE NE,Elementary School,ES,Active,202-671-6060,,269, ,dcps_202,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294490,202,202,N,479,1960,57100,400,357,405751.28,136574.53,294490,20019,-76.93370092,38.89700181
-76.919929266276611,38.896001430487601,32,Drew Elementary School,5600 EADS STREET NE,Elementary School,ES,Active,202-671-6040,,181, ,dcps_231,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,277686,231,231,N,,,,,,406946.23,136463.61,277686,20019,-76.91992701,38.89599397
-76.992318609193646,38.932283841906624,33,Luke C. Moore High School,1001 MONROE STREET NE,Youth Engagement,YE,Active,202-281-3600,0,293, ,dcps_884,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294504,884,884,N,,,,,,400666.21,140488.24,294504,20017,-76.99231633,38.93227638
-77.068039430942108,38.966635018803998,34,Lafayette Elementary School,5701 BROAD BRANCH ROAD NW,Elementary School,ES,Active,202-282-0116,,707, ,dcps_261,http://www.lafayettehsa.org,294611,261,261,N,486,1931,113600,550,623,394103.71,144303.7,294611,20015,-77.06803712,38.96662755
-76.982906596905096,38.897383469566471,35,Miner Elementary School,601 15TH STREET NE,Elementary School,ES,Active,202-397-3960,,469, ,dcps_280,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289548,280,280,N,,,,,,401483,136614.12,289548,20002,-76.98290432,38.89737602
-76.997181025752241,38.837745313083396,36,Hart Middle School,601 MISSISSIPPI AVENUE SE,Middle School,MS,Active,202-671-6426,,530, ,dcps_413,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspz,5534,413,413,Y,1110,1956,210700,550,524,400244.94,129993.71,5534,20032,-76.99717875,38.83773787
-77.01924089573717,38.96586473944469,37,Whittier Education Campus,6201 5TH STREET NW,Elementary School,ES,Active,202-576-6156,,346, ,dcps_338,http://www.whittierdc.net,294614,338,338,Y,517,1926,66600,600,365,398332.71,144216.17,294614,20011,-77.0192386,38.96585727
-77.028614849454527,38.91390874725564,38,Garrison Elementary School,1200 S STREET NW,Elementary School,ES,Active,202-673-7263,,237, ,dcps_239,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294509,239,239,N,474,1964,60200,325,240,397518.52,138448.81,294509,20009,-77.02861256,38.91390129
-76.922324402486367,38.896790613302223,39,Woodson High School,540 55TH STREET NE,High School,HS,Active,202-724-4632,,810, ,dcps_426,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,309633,425,425,N,1085,1967,156000,450,263,406737.85,136551.42,309633,20016,-76.92232826,38.89678662
-77.07777751144927,38.950163603706905,40,Wilson High School,3950 CHESAPEAKE STREET NW,High School,HS,Active,202-282-0120,4,1633,,dcps_463,http://www.wilsonhs.org/web/,294587,463,463,N,1485,1935,271300,1600,1557,393258.18,142475.96,294587,20016,-77.0777757,38.95015672
-77.079076105794726,38.923052102589779,41,Stoddert Elementary School,4001 CALVERT STREET NW,Elementary School,ES,Active,202-671-6030,,347, ,dcps_321,http://www.stoddert.org,224730,321,321,N,213,1932,17400,325,260,393143.05,139466.38,224730,20007,-77.0790738,38.92304465
-77.018127587236819,38.879522850651632,42,Amidon-Bowen Elementary School,401 I STREET SW,Elementary School,ES,Active,202-724-4867,0,254, ,dcps_203,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294482,203,203,N,438,1960,70800,400,227,398427.29,134631.47,294482,20024,-77.0181253,38.8795154
-77.000197277003309,38.835987977174753,43,Simon Elementary School,401 MISSISSIPPI AVENUE SE,Elementary School,ES,Active,202-645-3360,,252, ,dcps_315,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294481,315,315,N,549,1950,66200,325,259,399983.07,129798.63,294481,20032,-77.000195,38.83598054
-77.000006663799141,38.896305157337551,44,Stuart-Hobson Middle School,410 E STREET NE,Middle School,MS,Active,202-671-6010,,403, ,dcps_428,http://www.capitolhillclusterschool.org/,294483,428,428,Y,460,1927,105900,450,393,399999.62,136494.28,294483,20002,-77.00000438,38.8962977
-77.080997137169888,38.947557880895559,45,Janney Elementary School,4130 ALBEMARLE STREET NW,Elementary School,ES,Active,202-282-0110,,548, ,dcps_254,http://www.janneyschool.org/,285713,254,254,N,364,1925,98200,550,484,392978.88,142186.88,285713,20016,-77.08099483,38.94755042
-76.989999048725267,38.883474459102203,46,Watkins Elementary School,420 12TH STREET SE,Elementary School,ES,Active,202-698-3355,,521, ,dcps_333,http://www.capitolhillclusterschool.org/,294486,333,333,N,578,1962,69300,550,538,400867.92,135070.02,294486,20003,-76.98999677,38.88346701
-77.012894196272157,38.828204222584091,47,Leckie Elementary School,4201 MARTIN LUTHER KING JR AVENUE SW,Elementary School,ES,Active,202-645-3330,,361, ,dcps_266,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294592,266,266,N,471,1970,65000,400,302,398880.58,128934.66,294592,20032,-77.01289191,38.82819678
-76.968492498030699,38.859279554952096,48,Stanton Elementary School,2701 NAYLOR ROAD SE,Elementary School,ES,Active,202-671-6180,,355, ,dcps_319,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294547,319,319,N,547,1944,83800,400,379,402734.84,132384.63,294547,20020,-76.96849023,38.85927211
-76.99649477618172,38.898751596381906,49,Ludlow-Taylor Elementary School,659 G STREET NE,Elementary School,ES,Active,202-698-3244,0,258, ,dcps_271,http://www.ludlowtaylor.org,294494,271,271,N,,,,,,400304.26,136765.86,294494,20002,-76.99649249,38.89874414
-76.996591304365921,38.902765453788696,50,J.O. Wilson Elementary School,660 K STREET NE,Elementary School,ES,Active,202-698-4733,0,382, ,dcps_339,http://www.dcps.dc.gov/jowilson,288841,339,339,N,412,1961,98900,400,360,400295.87,137211.43,288841,20002,-76.99658902,38.902758
-77.033997527399876,38.984610753084247,51,Shepherd Elementary School,7800 14TH STREET NW,Elementary School,ES,Active,202-576-6140,,331, ,dcps_313,http://www.shepherd-elementary.org,256319,313,313,N,332,1932,79700,400,312,397054.62,146297.53,256319,20012,-77.03399523,38.98460328
-77.032255352322977,38.951374877375471,52,West Education Campus,1338 FARRAGUT STREET NW,Elementary School,ES,Active,202-576-6226,,244, ,dcps_336,http://www.westschool.org/,294517,336,336,N,281,1978,69600,450,190,397204.26,142607.98,294517,20011,-77.03225306,38.95136741
-77.031229717321239,38.94154180435055,53,Powell Elementary School,1350 UPSHUR STREET NW,Elementary School,ES,Active,202-671-6270,,310, ,dcps_300,http://www.dcps.dc.gov/DCPS/powell,255302,300,300,N,304,1925,38500,325,258,397292.79,141516.39,255302,20011,-77.03122742,38.94153434
-76.979686569941848,38.890410115128155,54,Eastern High School,1700 EAST CAPITOL STREET NE,High School,HS,Active,202-698-4500,,303, ,dcps_457,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289529,457,457,N,1425,1923,288800,6,915,401762.5,135840.08,289529,20003,-76.97968429,38.89040266
-76.980173580270915,38.871293852901388,55,Kramer Middle School,1700 Q STREET SE,Middle School,MS,Active,202-939-3150,,277, ,dcps_417,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289467,417,417,N,655,1943,154000,550,340,401720.71,133718.02,289467,20020,-76.9801713,38.8712864
-77.039664441341188,38.912398603594021,56,Ross Elementary School,1730 R STREET NW,Elementary School,ES,Active,202-673-7200,,157, ,dcps_305,http://www.rosselementary.org/,241714,305,305,N,,,,,,396560.15,138281.53,241714,20009,-77.03966214,38.91239115
-76.993606540641025,38.862859433361592,57,Savoy Elementary School,2400 SHANNON PLACE SE,Elementary School,ES,Active,202-939-2000,0,344, ,dcps_307,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,278153,307,307,N,479,1968,64800,450,191,400555.08,132781.57,278153,20020,-76.99360426,38.86285199
-77.040555742301137,38.934325816193429,58,Bancroft Elementary School,1755 NEWTON STREET NW,Elementary School,ES,Active,202-673-7280,,463, ,dcps_204,http://www.bancroftelementary.org,294528,204,204,N,527,1924,79800,450,451,396483.93,140715.67,294528,20010,-77.04055344,38.93431836
-77.068616202126663,38.915516487177051,59,Hardy Middle School,1819 35TH STREET NW,Middle School,MS,Active,202-729-4350,,412, ,dcps_246,http://www.hardyms.org,274432,246,246,Y,,,,,,394049.46,138629.13,274432,20007,-77.0686139,38.91550903
-76.970807048352981,38.851740821488981,60,Garfield Elementary School,2435 ALABAMA AVENUE SE,Elementary School,ES,Active,202-671-6140,,240, ,dcps_238,http://www.dcps.dc.gov/garfield,278160,238,238,N,446,1977,58908,400,322,402534.22,131547.71,278160,20020,-76.97080478,38.85173338
-77.013918148383766,38.904199545731181,61,Walker-Jones Education Campus,1125 NEW JERSEY AVENUE NW,Education Campus,EC,Active,202-939-5934,,418, ,dcps_332,http://dcps.dc.gov/DCPS/walker-jones,307735,332,332,N,,,,,,398792.97,137370.7,307735,20001,-77.01391569,38.90419198
-76.992043942505148,38.881091807426309,62,Tyler Elementary School,1001 G STREET SE,Elementary School,ES,Active,202-939-4810,,402, ,dcps_330,http://www.tylerelementary.net,294505,330,330,N,452,1949,69600,400,265,400690.52,134805.51,294505,20003,-76.99204166,38.88108436
-77.048188764065969,38.898131572671346,63,School Without Walls High School,2130 G STREET NW,High School/Specialized,HS,Active,202-645-9690,19,527, ,dcps_466,http://www.swwhs.org/,242528,466,466,N,,1935,47200,,,395820.01,136698.13,242528,20037,-77.04818647,38.89812412
-76.929949908610396,38.905422778177638,64,Houston Elementary School,1100 50TH PLACE NE,Elementary School,ES,Active,202-671-6170,,223, ,dcps_251,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,156316,251,251,N,507,1962,59900,325,289,406076.15,137508.74,156316,20019,-76.92994765,38.90541532
-77.017779372031129,38.948238410748694,65,Barnard Elementary School,430 DECATUR STREET NW,Elementary School,ES,Active,202-576-1100,,482, ,dcps_205,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,248305,205,205,N,387,2003,,,,398458.99,142259.46,248305,20011,-77.01777708,38.94823095
-77.008486991040385,38.826973799126051,66,Patterson Elementary School,4399 SOUTH CAPITOL TERRACE SW,Elementary School,ES,Active,202-939-5280,,320, ,dcps_294,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,301073,294,294,N,,2004,78300,368,,399263.25,128798.03,301073,20032,-77.00848471,38.82696636
-77.027778635755041,38.943615972158675,67,Roosevelt High School @ MacFarland,4400 IOWA AVENUE NW,High School,HS,Active,202-576-6130,,497, ,dcps_459,http://roosevelt.k12.dc.us/,252605,459,459,N,1055,1932,331900,1100,845,397592.04,141746.55,294595,20011,-77.02777641,38.94360856
-76.938470902763726,38.893561490094051,68,Smothers Elementary School,4400 BROOKS STREET NE,Elementary School,ES,Active,202-939-3600,,242, ,dcps_322,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294596,322,322,N,332,1923,43000,325,186,405337.95,136191.51,294596,20019,-76.93846864,38.89355404
-77.087828507007131,38.934299762597995,69,Mann Elementary School,4430 NEWARK STREET NW,Elementary School,ES,Active,202-282-0126,,290, ,dcps_273,http://www.horacemanndc.org/,294597,273,273,N,,,,,,392385.28,140715.66,294597,20016,-77.08782619,38.93429231
-76.939936939656135,38.887247650633547,70,Plummer Elementary School,4601 TEXAS AVENUE SE,Elementary School,ES,Active,202-939-4360,,220, ,dcps_299,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,19536,299,299,N,,,,,,405211.23,135490.54,19536,20019,-76.93993468,38.8872402
-76.978458649271786,38.933510121729377,71,Burroughs Elementary School,1820 MONROE STREET NE,Elementary School,ES,Active,202-576-6150,,296, ,dcps_220,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294530,220,220,Y,474,1980,63900,450,240,401867.9,140624.56,294530,20018,-76.97845637,38.93350266
-77.022709467575766,38.915152744378219,72,Cleveland Elementary School,1825 8TH STREET NW,Elementary School,ES,Active,202-939-4380,,301, ,dcps_224,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294531,224,224,N,,1911,54427,276,,398030.71,138586.76,294531,20001,-77.02270718,38.91514529
-76.978980195729733,38.892438946299286,73,Eliot-Hine Middle School,1830 CONSTITUTION AVENUE NE,Middle School,MS,Active,202-939-5380,0,348, ,dcps_407,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,286499,407,407,Y,850,1931,155100,450,155,401823.73,136065.31,286499,20002,-76.97897792,38.89243149
-76.97708413269909,38.924711621752145,74,Langdon Elementary School,1900 EVARTS STREET NE,Elementary School,ES,Active,202-576-6048,,404, ,dcps_262,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294532,262,262,N,528,1930,101400,450,408,401987.32,139647.88,294532,20018,-76.97708185,38.92470416
-76.983623438695361,38.866050141935062,75,Ketcham Elementary School,1919 15TH STREET SE,Elementary School,ES,Active,202-698-1122,,256, ,dcps_257,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,286537,257,257,N,461,1909,88300,325,356,401421.44,133135.87,286537,20020,-76.98362116,38.86604269
-77.068616202126663,38.915516487177051,76,Fillmore Arts Center (West),1819 35TH STREET NW,Arts Center,AC,Active,202-729-3796,0,0, ,dcps_923,http://www.fillmoreartscenter.org/,274432,0,0,N,,,,,,394049.46,138629.13,274432,20007,-77.0686139,38.91550903
-77.044379548925349,38.917316991230479,77,Oyster-Adams Bilingual School (Adams),2020 19TH STREET NW,Middle School,MS,Active,202-673-7311,0,321, ,dcps_949,http://www.oysterbilingualschool.com/,294534,292,292,N,,,,,,396151.48,138827.7,294534,20009,-77.04437725,38.91730954
-76.971899905845831,38.901999477082846,78,"Phelps Architecture, Construction, and Engineering High School",704 26TH STREET NE,High School/Specialized,HS,Active,202-729-4360,,329, ,dcps_478,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294495,0, ,N,,1912,205776,600,,402437.64,137126.77,294495,20002,-76.97189763,38.90199202
-77.015586955104197,38.920437574978628,79,Washington Metropolitan High School,300 BRYANT STREET NW,Youth Engagement,YE,Active,202-671-1788,,253, ,dcps_474,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294475,0, ,N,,,,,,398648.513,139173.29,294475,20001,-77.01558101,38.92043047
-77.026434953982346,38.935818665270325,80,Fillmore Arts Center (East),915 SPRING ROAD NW,Arts Center,AC,Active,202-576-9709,0,0, ,dcps_922,http://www.fillmoreartscenter.org/,226682,0,0,N,,,,,,397708.28,140880.94,226682,20010,-77.02643266,38.93581121
-77.000977543496603,38.83939010653733,81,Ballou High School,3401 4TH STREET SE,High School,HS,Active,202-645-3400,,910, ,dcps_452,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294567,452,452,N,1565,1960,271300,1200,1267,399915.33,130176.29,294567,20032,-77.00097526,38.83938266
-76.982945928232624,38.856664968640182,82,Moten Elementary School,1565 MORRIS ROAD SE,Elementary School,ES,Active,202-698-1111,0,315, ,dcps_920,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294524,285,285A,N,,1976,144900,,,401480.43,132093.89,294524,20020,-76.98294368,38.856656
-77.000977543496603,38.83939010653733,83,Ballou STAY High School,3401 4TH STREET SE,Youth Engagement,STAY,Active,202-645-3390,735,735, ,dcps_914,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294567,452,452A,N,,,,,,399915.33,130176.29,294567,20032,-77.00097526,38.83938266
-77.025073870550145,38.953976155311054,84,Truesdell Education Campus,800 INGRAHAM STREET NW,Elementary School,ES,Active,202-576-6202,,423, ,dcps_327,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294497,327,327,N,471,1908,69600,450,286,397826.84,142896.55,294497,20011,-77.02507158,38.95396869
-77.070081517757018,38.95294098491906,85,Murch Elementary School,4810 36TH STREET NW,Elementary School,ES,Active,202-282-0130,,556, ,dcps_287,http://www.murchschool.org,294602,287,287,N,,,,,,393925.57,142783.67,294602,20008,-77.07007921,38.95293352
-77.012693764207285,38.907634008020032,86,Dunbar High School,101 N ST NW,High School,HS,Active,202-698-3762,,514, ,dcps_467,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,309947,467,940,N,1095,1977,343400,1600,973,398899.21,137751.95,309947,20001,-77.012691,38.907627
-77.006778238414228,38.913510545306053,87,C.H.O.I.C.E. Academy @ Emery,1720 1ST STREET NE,Youth Engagement,YE,Active,202-939-4350,23,23, ,dcps_924,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294527,473,947,N,,,,,,399412.34,138404.24,294527,20002,-77.00677594,38.9135031
-76.993185305625857,38.897572450315593,88,School-Within-School @ Goding,920 F STREET NE,Elementary School/Specialized,ES,Active,202-673-8275,,84,,dcps_201,http://www.schoolwithinschool.org,289072,,,N,,,,,,400591.35,136634.98,289072,20002,-76.99318304,38.89756498
-77.0227972230375,38.975050343016541,89,Takoma Education Campus,7010 PINEY BRANCH ROAD NW,Elementary School,ES,Active,202-671-6050,,306, ,dcps_3241,http://www.takomaecenter.us,250934,3241,3241,Y,467,1976,119000,450,296,398024.76,145235.93,250934,20012,-77.02279493,38.97504287
-77.002564985449638,38.898537762177092,90,Capitol Hill Montessori @ Logan,215 G STREET NE,Elementary School/Specialized,ES,Active,202-698-4467,0,211, ,dcps_960,http://capitolhillmontessorischool.org/,286687,0,0,N,,,,,,399777.37,136742.12,286687,20002,-77.00256647,38.89853031
-77.005892678903592,38.915170354636551,91,Langley Elementary School,101 T STREET NE,Elementary School,ES,Active,202-576-6034,,375, ,dcps_965,http://www.dcps.dc.gov/langley,285757,0,0,N,,,,,,399489.48,138589.14,285757,20002,-77.00588662,38.91516879
-77.022912949810475,38.879878381785296,92,Jefferson Middle School Academy,801 7TH STREET SW,Middle School,MS,Active,202-729-3270,,89, ,dcps_415,http://www.k12.dc.us/schools/Jefferson/,276812,415,415,Y,900,1940,109000,450,408,398012.08,134671.03,276812,20024,-77.02291066,38.87987093
-77.004884476227019,38.915217886336762,93,McKinley Middle School,151 T STREET NE,Middle School,MS,Active,202-281-3950,0,670, ,dcps_970,,296345,458,458,N,,,,,,399642.48,138594.83,296345,20002,-77.00412244,38.91522012
